,Security Id,Security Name,Group,Industry
2821,SALASAR,Salasar Techno Engineering Ltd,B ,Construction &amp; Engineering
2822,AVADHSUGAR,Avadh Sugar &amp; Energy Ltd,B ,Sugar
2824,JIGAR,Jigar Cables Ltd,M ,Other Elect.Equip./ Prod.
2825,CTCL,Captain Technocast Ltd,M ,Other Industrial Goods
2827,GSTL,Globalspace Technologies Ltd,M ,IT Consulting &amp; Software
2828,SIS,Security and Intelligence Services (India) Ltd,B ,Sp.Consumer Services
2829,COCHINSHIP,Cochin Shipyard Ltd,B ,Shipping
2831,ABCAPITAL,Aditya Birla Capital Ltd,B ,Holding Companies
2832,APEX,Apex Frozen Foods Ltd,B ,Packaged Foods
2833,SHISHIND,Shish Industries Ltd,M ,Plastic Products
2834,ANG,ANG Lifesciences India Ltd,M ,Healthcare Services
2835,DWL,Dhruv Wellness Ltd,M ,Comm.Trading  &amp; Distribution
2839,DIXON,Dixon Technologies (India) Ltd,B ,Consumer Electronics
2840,BRNL,Bharat Road Network Ltd,B ,Roads &amp; Highways
2841,DCAL,Dishman Carbogen Amcis Ltd,B ,Pharmaceuticals
2842,LASA,Lasa Supergenerics Ltd,T ,Healthcare Services
2843,MATRIMONY,Matrimony.com Ltd,B ,Internet Software &amp; Services
2845,CAPACITE,Capacite Infraprojects Ltd,B ,Realty
2846,SAGAR,Sagar Diamonds Ltd,M ,Other Apparels &amp; Accessories
2847,ICICIGI,ICICI Lombard General Insurance Company Ltd,B ,General Insurance
2848,PQIF,Polo Queen Industrial and Fintech Ltd,XT,Comm.Trading  &amp; Distribution
2850,SBILIFE,SBI Life Insurance Company Ltd,B ,Life Insurance
2851,DIAMONDYD,Prataap Snacks Ltd,B ,Packaged Foods
2852,SISL,Share India Securities Ltd,M ,Other Financial Services
2853,TTFL,Trident Texofab Ltd,M ,Comm.Trading  &amp; Distribution
2854,POOJA,Poojawestern Metaliks Ltd,M ,Other Industrial Products
2855,SAYAJIIND,Sayaji Industries Ltd,XT,Diversified
2856,VANTABIO,Vanta Bioscience Ltd,M ,Pharmaceuticals
2857,MEHAI,Mehai Technology Ltd,M ,Comm.Trading  &amp; Distribution
2858,IRIS,IRIS Business Services Ltd,M ,IT Software Products
2860,STL,Shreeji Translogistics Ltd,M ,Transportation - Logistics
2861,GODREJAGRO,Godrej Agrovet Ltd,B ,Other Agricultural Products
2862,MASFIN,MAS Financial Services Ltd,B ,Finance (including NBFCs)
2863,IEX,Indian Energy Exchange Ltd,B ,Electric Utilities
2864,GICRE,General Insurance Corporation of India,B ,General Insurance
2865,KAARYAFSL,Kaarya Facilities and Services Ltd,M ,Sp.Consumer Services
2866,SCPL,Sheetal Cool Products Ltd,M ,Packaged Foods
2868,MAHLOG,Mahindra Logistics Ltd,B ,Transportation - Logistics
2869,NIACL,The New India Assurance Company Ltd,B ,General Insurance
2870,KHADIM,Khadim India Ltd,B ,Footwear
2871,5PAISA,5paisa Capital Ltd,B ,Other Financial Services
2872,HDFCLIFE,HDFC Standard Life Insurance Company Ltd,B ,Life Insurance
2873,SBRANDS,Sanghvi Brands Ltd,M ,Hotels
2874,ASPIRA,Aspira Pathlab &amp; Diagnostics Ltd,XT,Healthcare Services
2877,FELDVR,Future Enterprises Ltd,B ,Department Stores
2879,JISLDVREQS,JAIN IRRIGATION SYSTEMS LTD.,B ,Plastic Products
2881,KARURVYSYA,KARUR VYSYA BANK LTD.,B ,Banks
2883,AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD.-$,B ,Pharmaceuticals
2884,XPROINDIA,XPRO INDIA LTD.,B ,Commodity Chemicals
2886,BHARATRAS,BHARAT RASAYAN LTD.,B ,Agrochemicals
2887,EASTSILK,EASTERN SILK INDUSTRIES LTD.,B ,Textiles
2888,FACT,FERTILIZERS &amp; CHEMICALS TRAVANCORE LTD.,B ,Fertilizers
2889,GINNIFILA,GINNI FILAMENTS LTD.,B ,Textiles
2890,SPIC,SOUTHERN PETROCHEMICALS LTD.,B ,Fertilizers
2891,DENORA,DE NORA INDIA LTD.,B ,Other Industrial Goods
2892,KAVVERITEL,KAVVERI TELECOM PRODUCTS LTD.-$,B ,Telecom Equipment
2894,SAKSOFT,SAKSOFT LTD.,B ,IT Software Products
